frame_name,coordinates
00263.jpg,"[{'contour_0': (1039, 66, 128, 82)}]"
00264.jpg,"[{'contour_0': (51, 168, 310, 136)}]"
00265.jpg,"[{'contour_0': (1119, 651, 161, 69)}]"
00266.jpg,[]
00267.jpg,"[{'contour_0': (824, 23, 188, 60)}]"
00268.jpg,"[{'contour_0': (919, 64, 294, 127)}]"
00269.jpg,"[{'contour_0': (997, 106, 283, 118)}]"
00270.jpg,"[{'contour_0': (1079, 651, 159, 69)}, {'contour_1': (1093, 150, 187, 80)}, {'contour_2': (993, 96, 80, 36)}, {'contour_3': (886, 52, 83, 38)}]"
00271.jpg,"[{'contour_0': (1195, 195, 85, 41)}, {'contour_1': (976, 99, 89, 34)}]"
00272.jpg,"[{'contour_0': (56, 544, 67, 36)}, {'contour_1': (418, 374, 93, 59)}, {'contour_2': (1182, 179, 70, 41)}]"
00273.jpg,"[{'contour_0': (419, 376, 93, 60)}, {'contour_1': (1165, 180, 87, 34)}]"
00274.jpg,"[{'contour_0': (313, 654, 153, 66)}, {'contour_1': (1064, 651, 161, 69)}]"
00275.jpg,[]
00276.jpg,[]
00277.jpg,"[{'contour_0': (73, 654, 172, 66)}, {'contour_1': (1137, 21, 143, 63)}]"
00278.jpg,"[{'contour_0': (412, 645, 148, 75)}, {'contour_1': (155, 524, 159, 66)}, {'contour_2': (435, 377, 149, 68)}, {'contour_3': (1228, 75, 52, 32)}]"
00279.jpg,"[{'contour_0': (406, 651, 233, 69)}]"
00280.jpg,"[{'contour_0': (444, 660, 185, 60)}, {'contour_1': (442, 383, 104, 69)}]"
00281.jpg,"[{'contour_0': (185, 678, 124, 42)}, {'contour_1': (77, 113, 160, 102)}]"
00282.jpg,[]
00283.jpg,"[{'contour_0': (456, 382, 120, 66)}]"
00284.jpg,[]
00285.jpg,"[{'contour_0': (866, 55, 94, 36)}]"
00286.jpg,"[{'contour_0': (960, 93, 95, 38)}, {'contour_1': (1118, 39, 162, 74)}]"
00287.jpg,"[{'contour_0': (204, 702, 136, 18)}, {'contour_1': (1050, 130, 95, 36)}, {'contour_2': (1214, 82, 66, 35)}]"
00288.jpg,"[{'contour_0': (1142, 169, 99, 36)}]"
00289.jpg,[]
00290.jpg,[]
00291.jpg,[]
00292.jpg,[]
00293.jpg,[]
00294.jpg,[]
00295.jpg,[]
00296.jpg,[]
00297.jpg,[]
00298.jpg,[]
00299.jpg,[]
00300.jpg,[]
00301.jpg,"[{'contour_0': (1106, 562, 72, 41)}]"
00302.jpg,[]
00303.jpg,[]
00304.jpg,"[{'contour_0': (1137, 652, 143, 68)}, {'contour_1': (1097, 511, 183, 89)}]"
00305.jpg,"[{'contour_0': (1141, 527, 139, 91)}]"
00306.jpg,[]
00307.jpg,[]
00308.jpg,[]
00309.jpg,"[{'contour_0': (299, 660, 125, 60)}]"
00310.jpg,[]
00311.jpg,[]
00312.jpg,"[{'contour_0': (45, 210, 86, 23)}]"
00313.jpg,"[{'contour_0': (44, 162, 198, 110)}]"
00314.jpg,"[{'contour_0': (125, 188, 260, 120)}]"
00315.jpg,"[{'contour_0': (312, 325, 89, 23)}, {'contour_1': (220, 285, 82, 25)}]"
00316.jpg,"[{'contour_0': (310, 324, 179, 66)}]"
